1,1.6257,94.49,1.6261,93.49
2,1.4079,98.45,1.5756,93.14
3,1.3529,98.97,1.4725,95.54
4,1.3359,98.98,1.3833,97.60
5,1.3211,99.17,1.4205,96.44
6,1.3135,99.18,1.3790,97.21
7,1.3097,99.20,1.3639,97.40
8,1.3028,99.31,1.3582,97.60
9,1.3032,99.21,1.3742,97.08
10,1.2950,99.39,1.3243,98.35
11,1.2931,99.38,1.3326,98.13
12,1.2911,99.44,1.3602,97.54
13,1.2936,99.35,1.4344,95.67
14,1.2873,99.47,1.3113,98.68
15,1.2876,99.48,1.3398,97.94
16,1.2847,99.51,1.3019,98.83
17,1.2833,99.52,1.3358,98.01
18,1.2851,99.46,1.3372,97.96
19,1.2841,99.50,1.3153,98.49
20,1.2806,99.55,1.3171,98.49
21,1.2851,99.46,1.3194,98.41
22,1.2803,99.54,1.3507,97.59
23,1.2762,99.64,1.3170,98.57
24,1.2758,99.64,1.3050,98.77
25,1.2802,99.54,1.6220,90.63
